,lane1,lane2
1,23,0
2,0,3
14,0,29
19,0,0
15,50,0
3,0,42
29,47,0
42,41,0
44,33,0
47,0,44
54,48,0
70,34,0
89,38,0
94,43,0
100,0,37
106,0,31
104,46,0
109,0,41
116,28,0
122,16,0
126,1,0
152,43,0
153,0,42
167,0,37
156,43,0
184,51,0
187,0,45
194,45,0
197,0,47
211,42,0
216,0,42
222,0,43
214,51,0
233,2,9
227,0,47
242,44,0
244,0,45
243,51,0
268,1,0
257,0,25
273,2,0
274,50,0
289,1,0
314,0,1
307,47,0
331,44,0
347,41,0
337,45,0
383,0,36
386,0,33
387,0,34
400,47,0
418,0,39
424,38,0
427,54,0
434,0,42
449,39,0
462,0,4
473,47,0
467,0,40
447,50,0
477,0,36
479,40,0
485,0,35
537,40,0
536,0,41
540,43,0
555,46,0
565,42,0
585,0,40
592,41,0
575,0,37
595,51,0
633,3,0
638,4,0
636,0,38
652,0,10
662,0,36
666,41,0
647,40,0
657,3,0
678,0,19
673,33,0
708,0,41
725,0,43
742,18,0
733,46,0
751,0,37
763,0,38
765,43,0
779,0,40
784,41,0
788,0,13
802,37,0
810,0,42
829,42,0
833,32,0
839,0,41
843,0,53
854,0,35
845,27,0
855,0,47
878,33,0
894,0,11
895,0,51
874,46,0
904,1,0
906,25,0
908,0,48
910,44,0
918,0,37
924,0,5
914,55,0
928,0,43
939,36,0
941,0,38
943,53,0
953,0,39
956,0,44
958,0,7
966,0,2
974,0,34
975,40,0
977,0,37
993,40,0
995,49,0
994,0,56
1007,54,0
1015,0,46
1009,53,0
1031,0,44
1041,41,0
1049,43,0
1050,0,34
1051,46,0
1058,0,8
1060,0,30
1067,0,35
1071,0,33
1073,0,50
1074,50,0
1109,0,27
1111,0,34
1127,0,6
1141,0,42
1132,51,0
1142,29,0
1147,0,27
1154,0,43
1176,38,0
1179,0,39
1184,0,27
1187,42,0
1195,3,29
1189,0,50
1208,51,0
1215,0,2
1205,6,0
1224,9,0
1240,36,0
1209,0,51
1249,40,0
1251,51,0
1261,0,43
1265,49,0
1245,51,0
1271,0,44
1306,0,41
1314,36,0
1315,9,0
1312,50,0
1317,0,49
1319,17,0
1334,0,43
1321,50,0
1340,0,46
1341,46,0
1350,0,47
1358,0,47
1375,0,0
1386,35,0
1369,41,0
1381,0,38
1405,0,39
1414,0,0
1406,40,0
1423,42,0
1437,41,0
1453,41,0
1479,2,0
1480,0,36
1485,46,0
1495,32,0
1496,0,34
1499,0,32
1507,0,39
1503,45,0
1521,40,0
1534,39,0
1542,0,40
1558,0,39
1551,42,0
1567,0,31
1560,1,0
1572,43,0
1578,0,42
1580,40,0
1612,44,0
1625,0,43
1597,46,0
1638,11,19
1641,0,39
1632,45,0
1648,0,35
1650,0,44
1662,46,0
1673,0,34
1665,1,0
1672,0,32
1688,37,0
1695,37,0
1710,36,0
1699,0,47
1712,44,0
1727,42,0
1752,0,37
1758,45,0
1757,6,0
1769,40,0
1778,7,0
1782,37,0
1788,41,0
1779,0,39
1781,48,0
1797,40,0
1820,0,43
1826,41,0
1835,0,14
1850,0,34
1841,39,0
1853,0,40
1863,0,40
1872,0,45
1870,49,0
1878,1,0
1874,43,0
1886,0,37
1903,0,0
1889,49,0
1895,0,41
1930,0,39
1933,7,0
1950,28,0
1952,36,0
1959,0,28
1962,0,38
1978,42,0
1986,38,0
1996,33,0
1993,39,0
2013,37,0
2029,0,36
2042,0,31
2046,0,39
2045,41,0
2050,0,37
2059,0,42
2058,41,0
2076,0,38
2092,42,0
2095,0,36
2097,0,42
2099,42,0
2113,0,38
2119,47,0
2130,0,40
2139,0,39
2165,33,0
2183,45,0
2199,35,0
2203,46,0
2209,35,0
2215,46,0
2221,0,46
2233,0,44
2235,45,0
2239,0,36
2254,34,0
2255,0,34
2246,38,0
2260,0,35
2264,0,37
2282,2,0
2284,0,36
2285,29,0
2289,1,0
2290,0,40
2293,19,0
2303,41,0
2317,3,0
2319,45,0
2320,43,0
2325,6,0
2329,33,0
2333,34,0
2330,46,0
2341,46,0
2349,41,0
2344,0,37
2361,0,41
2368,9,0
2372,1,0
2354,38,0
2378,44,0
2411,44,0
2408,0,47
2426,0,30
2422,39,0
2438,45,0
2440,0,39
2448,46,0
2456,0,0
2457,44,0
2486,38,0
2451,47,0
2466,0,45
2507,37,0
2510,0,42
2549,42,0
2551,46,0
2539,0,42
2560,39,0
2558,42,0
2564,0,43
2543,0,44
2571,52,0
2573,0,44
2587,32,0
2586,0,44
2594,7,0
2579,38,0
2606,43,0
2603,0,44
2611,33,0
2631,0,38
2632,43,0
2639,0,35
2642,0,39
2643,42,0
2654,41,0
2671,42,0
2694,46,0
2693,0,45
2702,41,0
2712,0,40
2732,0,2
2735,0,38
2738,0,41
2744,46,0
2770,0,38
2758,49,0
2779,1,0
2759,0,43
2786,4,0
2787,0,37
2792,1,0
2805,52,0
2825,1,0
2864,37,0
2873,39,0
2869,0,48
2883,43,0
2899,5,0
2909,0,38
2912,33,0
2919,36,0
2920,0,49
2913,46,0
2925,0,36
2929,43,0
2948,0,47
2969,35,0
2970,0,41
2983,35,0
2982,0,45
2988,45,0
2999,0,6
3006,0,37
3008,0,42
3002,44,0
3018,48,0
3041,50,0
3048,46,0
3045,0,50
3075,0,45
3061,48,0
3064,47,0
3097,0,34
3092,35,0
3102,0,43
3138,23,0
3116,40,0
3154,0,47
3145,45,0
3191,34,0
3199,30,0
3203,0,0
3212,37,0
3218,0,32
3226,25,0
3232,25,0
3174,0,43
3237,23,0
3252,0,39
3254,45,0
3253,0,40
3268,47,0
3283,42,0
3287,0,42
3290,46,0
3294,0,37
3310,45,0
3334,0,40
3332,44,0
3338,0,43
3341,0,0
3346,47,0
3356,0,36
3357,0,0
3351,39,0
3364,0,40
3377,0,0
3373,42,0
3374,0,42
3401,44,0
3402,0,42
3421,44,0
3424,41,0
3420,0,37
3432,0,0
3449,0,38
3460,51,0
3464,0,41
3489,48,0
3466,0,35
3503,0,26
3510,26,0
3530,29,0
3535,0,14
3536,0,0
3502,47,0
3529,0,39
3551,47,0
3588,0,23
3590,11,0
3614,38,0
3621,43,0
3624,49,0
3643,0,44
3635,47,0
3666,0,33
3668,0,36
3667,45,0
3672,0,40
3675,52,0
3684,34,0
3691,0,37
3693,0,30
3700,0,0
3707,0,0
3712,0,41
3718,47,0
3727,49,0
3736,0,40
3743,0,40
3734,47,0
3758,41,0
3755,0,44
3760,47,0
3792,0,0
3783,0,45
3785,46,0
3801,0,45
3815,0,32
3826,6,33
3841,43,0
3842,0,27
3843,30,0
3854,29,0
3858,0,38
3835,48,0
3868,0,36
3892,0,40
3900,40,0
3898,0,41
3908,42,0
3929,0,0
3944,0,40
3921,44,0
3957,0,42
3961,4,0
3978,0,41
3983,0,26
3989,28,0
3981,40,0
3998,0,33
4004,0,37
4013,41,0
4016,0,5
4015,47,0
4021,0,34
4033,0,38
4026,47,0
4065,0,4
4079,18,0
4091,42,0
4056,0,42
4045,9,0
4113,36,0
4114,0,42
4125,42,0
4127,31,0
4130,44,0
4146,0,0
4133,0,41
4173,45,0
4151,0,40
4176,43,0
4186,26,0
4189,0,41
4198,40,0
4197,46,0
4216,33,0
4226,0,38
4224,43,0
4262,0,42
4269,45,0
4273,0,41
4287,47,0
4275,0,44
4311,39,0
4289,48,0
4316,0,46
4317,0,0
4319,0,40
4332,47,0
4341,46,0
4352,32,0
4377,6,0
4389,45,0
4395,48,0
4409,0,0
4418,40,0
4430,40,0
4426,0,43
4437,0,0
4440,0,40
4448,39,0
4460,0,40
4436,43,0
4465,0,45
4485,47,0
4491,0,44
4497,0,4
4501,0,34
4496,51,0
4515,36,0
4521,0,45
4538,0,40
4559,43,0
4553,43,0
4578,0,39
4596,42,0
4581,48,0
4620,0,45
4609,0,44
4616,47,0
4651,48,0
4643,50,0
4665,0,0
4678,2,0
4690,39,0
4694,42,0
4700,0,0
4717,9,0
4733,39,0
4698,29,0
4725,0,46
4752,0,37
4758,16,0
4746,46,0
4785,35,0
4795,40,0
4819,0,45
4830,0,40
4820,0,45
4852,5,0
4806,56,0
4857,0,41
4870,0,31
4895,48,0
4897,40,0
4898,0,43
4908,9,0
